customer_id,customer_name,email,phone,city,registration_date,customer_segment
CUST_0001,Customer 1,customer1@email.com,0895822412,Jakarta,2025-05-25,Bronze
CUST_0002,Customer 2,customer2@email.com,0846913810,Surabaya,2025-02-12,Premium
CUST_0003,Customer 3,customer3@email.com,0823756669,Semarang,2025-04-23,Bronze
CUST_0004,Customer 4,customer4@email.com,0866629388,Jakarta,2025-05-22,Premium
CUST_0005,Customer 5,customer5@email.com,0839345092,Surabaya,2024-09-21,Bronze
CUST_0006,Customer 6,customer6@email.com,0813561597,Semarang,2025-02-25,Bronze
CUST_0007,Customer 7,customer7@email.com,0897226012,Semarang,2024-11-04,Premium
CUST_0008,Customer 8,customer8@email.com,0870291817,Semarang,2025-01-15,Premium
CUST_0009,Customer 9,customer9@email.com,0831429110,Medan,2024-12-14,Regular
CUST_0010,Customer 10,customer10@email.com,0830868105,Surabaya,2024-12-16,Premium
CUST_0011,Customer 11,customer11@email.com,0822448136,Medan,2025-04-18,Regular
CUST_0012,Customer 12,customer12@email.com,0856164955,Semarang,2025-01-22,Premium
CUST_0013,Customer 13,customer13@email.com,0871662963,Semarang,2025-04-04,Regular
CUST_0014,Customer 14,customer14@email.com,0820576383,Semarang,2025-01-07,Bronze
CUST_0015,Customer 15,customer15@email.com,0893016315,Bandung,2024-08-15,Premium
CUST_0016,Customer 16,customer16@email.com,0819335534,Jakarta,2024-07-03,Premium
CUST_0017,Customer 17,customer17@email.com,0848840994,Jakarta,2025-02-07,Premium
CUST_0018,Customer 18,customer18@email.com,0861019678,Bandung,2024-10-17,Bronze
CUST_0019,Customer 19,customer19@email.com,0858966946,Surabaya,2024-11-29,Regular
CUST_0020,Customer 20,customer20@email.com,0838119557,Bandung,2024-06-12,Bronze
CUST_0021,Customer 21,customer21@email.com,0896977837,Jakarta,2024-07-30,Bronze
CUST_0022,Customer 22,customer22@email.com,0832969840,Semarang,2025-02-01,Premium
CUST_0023,Customer 23,customer23@email.com,0872043515,Medan,2025-01-19,Bronze
CUST_0024,Customer 24,customer24@email.com,0884752529,Surabaya,2024-06-21,Regular
CUST_0025,Customer 25,customer25@email.com,0817507864,Surabaya,2025-05-21,Regular
CUST_0026,Customer 26,customer26@email.com,0863843426,Bandung,2025-05-04,Premium
CUST_0027,Customer 27,customer27@email.com,0886125617,Bandung,2025-02-18,Bronze
CUST_0028,Customer 28,customer28@email.com,0877005685,Medan,2024-07-12,Regular
CUST_0029,Customer 29,customer29@email.com,0829175900,Bandung,2025-03-27,Premium
CUST_0030,Customer 30,customer30@email.com,0885345555,Semarang,2025-01-23,Bronze
CUST_0031,Customer 31,customer31@email.com,0888461803,Medan,2024-08-12,Regular
CUST_0032,Customer 32,customer32@email.com,0858586340,Surabaya,2025-03-28,Bronze
CUST_0033,Customer 33,customer33@email.com,0876238574,Jakarta,2025-05-13,Premium
CUST_0034,Customer 34,customer34@email.com,0830514014,Surabaya,2024-06-23,Regular
CUST_0035,Customer 35,customer35@email.com,0890048665,Jakarta,2024-11-21,Regular
CUST_0036,Customer 36,customer36@email.com,0889978790,Medan,2024-09-09,Regular
CUST_0037,Customer 37,customer37@email.com,0884252722,Jakarta,2024-06-23,Bronze
CUST_0038,Customer 38,customer38@email.com,0825374874,Semarang,2025-01-21,Bronze
CUST_0039,Customer 39,customer39@email.com,0855657579,Jakarta,2025-01-07,Regular
CUST_0040,Customer 40,customer40@email.com,0831227574,Medan,2025-06-05,Bronze
CUST_0041,Customer 41,customer41@email.com,0845351479,Semarang,2025-03-07,Bronze
CUST_0042,Customer 42,customer42@email.com,0824282218,Bandung,2024-07-14,Bronze
CUST_0043,Customer 43,customer43@email.com,0891734598,Surabaya,2025-03-20,Regular
CUST_0044,Customer 44,customer44@email.com,0831682744,Semarang,2024-09-08,Premium
CUST_0045,Customer 45,customer45@email.com,0890388981,Bandung,2024-09-29,Premium
CUST_0046,Customer 46,customer46@email.com,0825014631,Bandung,2024-12-31,Premium
CUST_0047,Customer 47,customer47@email.com,0817774584,Surabaya,2024-08-20,Premium
CUST_0048,Customer 48,customer48@email.com,0821496211,Medan,2025-05-02,Bronze
CUST_0049,Customer 49,customer49@email.com,0826879290,Surabaya,2024-07-04,Regular
CUST_0050,Customer 50,customer50@email.com,0883793389,Surabaya,2025-01-22,Bronze
CUST_0051,Customer 51,customer51@email.com,0891415657,Medan,2025-02-18,Bronze
CUST_0052,Customer 52,customer52@email.com,0836998038,Bandung,2024-11-14,Bronze
CUST_0053,Customer 53,customer53@email.com,0897225156,Bandung,2024-10-25,Bronze
CUST_0054,Customer 54,customer54@email.com,0870597444,Jakarta,2025-01-31,Premium
CUST_0055,Customer 55,customer55@email.com,0818593410,Bandung,2025-05-27,Bronze
CUST_0056,Customer 56,customer56@email.com,0884346088,Surabaya,2024-08-09,Premium
CUST_0057,Customer 57,customer57@email.com,0810965138,Jakarta,2024-06-09,Bronze
CUST_0058,Customer 58,customer58@email.com,0817901903,Surabaya,2025-05-03,Premium
CUST_0059,Customer 59,customer59@email.com,0854349361,Jakarta,2024-09-16,Premium
CUST_0060,Customer 60,customer60@email.com,0847376585,Medan,2025-02-17,Bronze
